"","Gene","Ensembl","Gene.description","Uniprot","Secretome.location"
"1627","GALNT10","ENSG00000164574","Polypeptide N-acetylgalactosaminyltransferase 10","Q86SR1","Intracellular and membrane"
"1628","BMPER","ENSG00000164619","BMP binding endothelial regulator","Q8N8U9","Secreted to extracellular matrix"
"1629","FABP5","ENSG00000164687","Fatty acid binding protein 5","Q01469","Intracellular and membrane"
"1630","SHH","ENSG00000164690","Sonic hedgehog signaling molecule","Q15465","Intracellular and membrane"
"1631","COL1A2","ENSG00000164692","Collagen type I alpha 2 chain","P08123","Secreted to extracellular matrix"
"1632","FNDC1","ENSG00000164694","Fibronectin type III domain containing 1","Q4ZHG4","Secreted to extracellular matrix"
"1633","CTSB","ENSG00000164733","Cathepsin B","P07858","Secreted to blood"
"1634","TNFRSF11B","ENSG00000164761","TNF receptor superfamily member 11b","O00300","Secreted in other tissues"
"1635","SBSPON","ENSG00000164764","Somatomedin B and thrombospondin type 1 domain containing","Q8IVN8","Secreted to extracellular matrix"
"1636","DEFA5","ENSG00000164816","Defensin alpha 5","Q01523","Secreted to digestive system"
"1637","DEFA4","ENSG00000164821","Defensin alpha 4","P12838","Secreted to blood"
"1638","DEFA6","ENSG00000164822","Defensin alpha 6","Q01524","Secreted to digestive system"
"1639","DEFB1","ENSG00000164825","Defensin beta 1","P60022","Secreted in other tissues"
"1640","SPAG11B","ENSG00000164871","Sperm associated antigen 11B","Q08648","Secreted in male reproductive system"
"1641","CTHRC1","ENSG00000164932","Collagen triple helix repeat containing 1","Q96CG8","Secreted in other tissues"
"1642","FREM1","ENSG00000164946","FRAS1 related extracellular matrix 1","Q5H8C1","Secreted to extracellular matrix"
"1643","MAMDC2","ENSG00000165072","MAM domain containing 2","Q7Z304","Secreted in other tissues"
"1644","PRSS37","ENSG00000165076","Serine protease 37","A4D1T9","Secreted in male reproductive system"
"1645","CPA6","ENSG00000165078","Carboxypeptidase A6","Q8N4T0","Secreted to extracellular matrix"
"1646","SVEP1","ENSG00000165124","Sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1","Q4LDE5","Intracellular and membrane"
"1647","LLCFC1","ENSG00000165131","LLLL and CFNLAS motif containing 1","Q96L11","Secreted in male reproductive system"
"1648","VEGFD","ENSG00000165197","Vascular endothelial growth factor D","O43915","Secreted to blood"
"1649","NLGN4Y","ENSG00000165246","Neuroligin 4 Y-linked","Q8NFZ3","Intracellular and membrane"
"1650","STOML2","ENSG00000165283","Stomatin like 2","Q9UJZ1","Intracellular and membrane"
"1651","LRFN5","ENSG00000165379","Leucine rich repeat and fibronectin type III domain containing 5","Q96NI6","Intracellular and membrane"
"1652","TSHR","ENSG00000165409","Thyroid stimulating hormone receptor","P16473","Intracellular and membrane"
"1653","FOLR2","ENSG00000165457","Folate receptor beta","P14207","Secreted to blood"
"1654","MBL2","ENSG00000165471","Mannose binding lectin 2","P11226","Secreted to blood"
"1655","DDIAS","ENSG00000165490","DNA damage induced apoptosis suppressor","Q8IXT1","Intracellular and membrane"
"1656","DEPP1","ENSG00000165507","DEPP1 autophagy regulator","Q9NTK1","Intracellular and membrane"
"1657","UCMA","ENSG00000165623","Upper zone of growth plate and cartilage matrix associated","Q8WVF2","Secreted to extracellular matrix"
"1658","VSTM4","ENSG00000165633","V-set and transmembrane domain containing 4","Q8IW00","Secreted - unknown location"
"1659","PDZD8","ENSG00000165650","PDZ domain containing 8","Q8NEN9","Intracellular and membrane"
"1660","QSOX2","ENSG00000165661","Quiescin sulfhydryl oxidase 2","Q6ZRP7","Intracellular and membrane"
"1661","ENOX2","ENSG00000165675","Ecto-NOX disulfide-thiol exchanger 2","Q16206","Intracellular and membrane"
"1662","STOX1","ENSG00000165730","Storkhead box 1","Q6ZVD7","Intracellular and membrane"
"1663","METTL17","ENSG00000165792","Methyltransferase like 17","Q9H7H0","Intracellular and membrane"
"1664","RNASE7","ENSG00000165799","Ribonuclease A family member 7","Q9H1E1","Secreted in other tissues"
"1665","CASP7","ENSG00000165806","Caspase 7","P55210","Intracellular and membrane"
"1666","VWA2","ENSG00000165816","Von Willebrand factor A domain containing 2","Q5GFL6","Secreted to extracellular matrix"
"1667","PRAP1","ENSG00000165828","Proline rich acidic protein 1","Q96NZ9","Secreted to digestive system"
"1668","CYP2C19","ENSG00000165841","Cytochrome P450 family 2 subfamily C member 19","P33261","Intracellular and membrane"
"1669","OTOGL","ENSG00000165899","Otogelin like","Q3ZCN5","Secreted in other tissues"
"1670","LARGE2","ENSG00000165905","LARGE xylosyl- and glucuronyltransferase 2","Q8N3Y3","Intracellular and membrane"
"1671","SERPINA12","ENSG00000165953","Serpin family A member 12","Q8IW75","Secreted in other tissues"
"1672","NELL1","ENSG00000165973","Neural EGFL like 1","Q92832","Secreted in other tissues"
"1673","C1QL3","ENSG00000165985","Complement C1q like 3","Q5VWW1","Secreted in brain"
"1674","HTRA1","ENSG00000166033","HtrA serine peptidase 1","Q92743","Secreted to blood"
"1675","LIPC","ENSG00000166035","Lipase C, hepatic type","P11150","Secreted to blood"
"1676","CEP57","ENSG00000166037","Centrosomal protein 57","Q86XR8","Intracellular and membrane"
"1677","JAM3","ENSG00000166086","Junctional adhesion molecule 3","Q9BX67","Secreted to blood"
"1678","IL25","ENSG00000166090","Interleukin 25","Q9H293","Secreted to blood"
"1679","ADAMTS15","ENSG00000166106","ADAM metallopeptidase with thrombospondin type 1 motif 15","Q8TE58","Secreted to extracellular matrix"
"1680","AMN","ENSG00000166126","Amnion associated transmembrane protein","Q9BXJ7","Secreted in other tissues"
"1681","SPINT1","ENSG00000166145","Serine peptidase inhibitor, Kunitz type 1","O43278","Secreted to blood"
"1682","FBN1","ENSG00000166147","Fibrillin 1","P35555","Secreted to blood"
"1683","POLL","ENSG00000166169","DNA polymerase lambda","Q9UGP5","Intracellular and membrane"
"1684","MYRFL","ENSG00000166268","Myelin regulatory factor like","Q96LU7","Intracellular and membrane"
"1685","C2","ENSG00000166278","Complement C2","P06681","Secreted to blood"
"1686","SMPD1","ENSG00000166311","Sphingomyelin phosphodiesterase 1","P17405","Secreted to blood"
"1687","TPP1","ENSG00000166340","Tripeptidyl peptidase 1","O14773","Intracellular and membrane"
"1688","NETO1","ENSG00000166342","Neuropilin and tolloid like 1","Q8TDF5","Secreted in brain"
"1689","TUB","ENSG00000166402","TUB bipartite transcription factor","P50607","Intracellular and membrane"
"1690","RIC3","ENSG00000166405","RIC3 acetylcholine receptor chaperone","Q7Z5B4","Intracellular and membrane"
"1691","ATMIN","ENSG00000166454","ATM interactor","O43313","Intracellular and membrane"
"1692","TMX3","ENSG00000166479","Thioredoxin related transmembrane protein 3","Q96JJ7","Intracellular and membrane"
"1693","MFAP4","ENSG00000166482","Microfibril associated protein 4","P55083","Secreted to extracellular matrix"
"1694","CLEC3A","ENSG00000166509","C-type lectin domain family 3 member A","O75596","Secreted to extracellular matrix"
"1695","A2ML1","ENSG00000166535","Alpha-2-macroglobulin like 1","A8K2U0","Secreted in other tissues"
"1696","HSP90B1","ENSG00000166598","Heat shock protein 90 beta family member 1","P14625","Intracellular and membrane"
"1697","MMP10","ENSG00000166670","Matrix metallopeptidase 10","P09238","Secreted to extracellular matrix"
"1698","B2M","ENSG00000166710","Beta-2-microglobulin","P61769","Secreted to blood"
"1699","PPIB","ENSG00000166794","Peptidylprolyl isomerase B","P23284","Secreted to blood"
"1700","CIAO2A","ENSG00000166797","Cytosolic iron-sulfur assembly component 2A","Q9H5X1","Intracellular and membrane"
"1701","ANKDD1A","ENSG00000166839","Ankyrin repeat and death domain containing 1A","Q495B1","Secreted - unknown location"
"1702","C18orf54","ENSG00000166845","Chromosome 18 open reading frame 54","Q8IYD9","Secreted in male reproductive system"
"1703","CLPX","ENSG00000166855","Caseinolytic mitochondrial matrix peptidase chaperone subunit X","O76031","Intracellular and membrane"
"1704","TAC3","ENSG00000166863","Tachykinin precursor 3","Q9UHF0","Secreted in female reproductive system"
"1705","SCG5","ENSG00000166922","Secretogranin V","P05408","Secreted to blood"
"1706","GREM1","ENSG00000166923","Gremlin 1, DAN family BMP antagonist","O60565","Secreted to blood"
"1707","CNPY4","ENSG00000166997","Canopy FGF signaling regulator 4","Q8N129","Intracellular and membrane"
"1708","PDIA3","ENSG00000167004","Protein disulfide isomerase family A member 3","P30101","Intracellular and membrane"
"1709","MEI1","ENSG00000167077","Meiotic double-stranded break formation protein 1","Q5TIA1","Intracellular and membrane"
"1710","PHB1","ENSG00000167085","Prohibitin 1","P35232","Intracellular and membrane"
"1711","BPIFB6","ENSG00000167104","BPI fold containing family B member 6","Q8NFQ5","Secreted in other tissues"
"1712","CERCAM","ENSG00000167123","Cerebral endothelial cell adhesion molecule","Q5T4B2","Intracellular and membrane"
"1713","ENDOG","ENSG00000167136","Endonuclease G","Q14249","Intracellular and membrane"
"1714","IGF2","ENSG00000167244","Insulin like growth factor 2","P01344","Secreted to blood"
"1715","ART5","ENSG00000167311","ADP-ribosyltransferase 5","Q96L15","Secreted in other tissues"
"1716","MMP26","ENSG00000167346","Matrix metallopeptidase 26","Q9NRE1","Secreted to extracellular matrix"
"1717","VKORC1","ENSG00000167397","Vitamin K epoxide reductase complex subunit 1","Q9BQB6","Intracellular and membrane"
"1718","LPO","ENSG00000167419","Lactoperoxidase","P22079","Secreted to digestive system"
"1719","GPX4","ENSG00000167468","Glutathione peroxidase 4","P36969","Intracellular and membrane"
"1720","LALBA","ENSG00000167531","Lactalbumin alpha","P00709","Secreted in female reproductive system"
"1721","DHRS13","ENSG00000167536","Dehydrogenase/reductase 13","Q6UX07","Secreted - unknown location"
"1722","LAIR2","ENSG00000167618","Leukocyte associated immunoglobulin like receptor 2","Q6ISS4","Secreted to blood"
"1723","KIFC2","ENSG00000167702","Kinesin family member C2","Q96AC6","Intracellular and membrane"
"1724","SERPINF2","ENSG00000167711","Serpin family F member 2","P08697","Secreted to blood"
"1725","WDR81","ENSG00000167716","WD repeat domain 81","Q562E7","Intracellular and membrane"
"1726","HSD11B1L","ENSG00000167733","Hydroxysteroid 11-beta dehydrogenase 1 like","Q7Z5J1","Secreted in brain"
"1727","CYB5D2","ENSG00000167740","Cytochrome b5 domain containing 2","Q8WUJ1","Secreted to blood"
"1728","KLK1","ENSG00000167748","Kallikrein 1","P06870","Secreted to digestive system"
"1729","KLK4","ENSG00000167749","Kallikrein related peptidase 4","Q9Y5K2","Secreted in male reproductive system"
"1730","KLK2","ENSG00000167751","Kallikrein related peptidase 2","P20151","Secreted in male reproductive system"
"1731","KLK5","ENSG00000167754","Kallikrein related peptidase 5","Q9Y337","Secreted in other tissues"
"1732","KLK6","ENSG00000167755","Kallikrein related peptidase 6","Q92876","Secreted in other tissues"
"1733","KLK11","ENSG00000167757","Kallikrein related peptidase 11","Q9UBX7","Secreted in other tissues"
"1734","KLK13","ENSG00000167759","Kallikrein related peptidase 13","Q9UKR3","Secreted in other tissues"
"1735","ANGPTL4","ENSG00000167772","Angiopoietin like 4","Q9BY76","Secreted to blood"
"1736","IGFBP6","ENSG00000167779","Insulin like growth factor binding protein 6","P24592","Secreted to blood"
"1737","TBX10","ENSG00000167800","T-box transcription factor 10","O75333","Intracellular and membrane"
"1738","CD300A","ENSG00000167851","CD300a molecule","Q9UGN4","Intracellular and membrane"
"1739","GHDC","ENSG00000167925","GH3 domain containing","Q8N2G8","Intracellular and membrane"
"1740","SOST","ENSG00000167941","Sclerostin","Q9BQB4","Secreted to extracellular matrix"
"1741","RAB26","ENSG00000167964","RAB26, member RAS oncogene family","Q9ULW5","Intracellular and membrane"
"1742","DNASE1L2","ENSG00000167968","Deoxyribonuclease 1 like 2","Q92874","Secreted in other tissues"
"1743","VWCE","ENSG00000167992","Von Willebrand factor C and EGF domains","Q96DN2","Secreted - unknown location"
"1744","LTBP3","ENSG00000168056","Latent transforming growth factor beta binding protein 3","Q9NS15","Secreted to blood"
"1745","CCDC88B","ENSG00000168071","Coiled-coil domain containing 88B","A6NC98","Intracellular and membrane"
"1746","PNOC","ENSG00000168081","Prepronociceptin","Q13519","Secreted to blood"
"1747","COPS6","ENSG00000168090","COP9 signalosome subunit 6","Q7L5N1","Intracellular and membrane"
"1748","VASN","ENSG00000168140","Vasorin","Q6EMK4","Secreted - unknown location"
"1749","CDC40","ENSG00000168438","Cell division cycle 40","O60508","Intracellular and membrane"
"1750","TNXB","ENSG00000168477","Tenascin XB","P22105","Secreted to extracellular matrix"
"1751","LGI3","ENSG00000168481","Leucine rich repeat LGI family member 3","Q8N145","Secreted in brain"
"1752","SFTPC","ENSG00000168484","Surfactant protein C","P11686","Secreted in other tissues"
"1753","BMP1","ENSG00000168487","Bone morphogenetic protein 1","P13497","Secreted to extracellular matrix"
"1754","SCGB1D1","ENSG00000168515","Secretoglobin family 1D member 1","O95968","Secreted in other tissues"
"1755","MYL1","ENSG00000168530","Myosin light chain 1","P05976","Intracellular and membrane"
"1756","COL3A1","ENSG00000168542","Collagen type III alpha 1 chain","P02461","Secreted to extracellular matrix"
"1757","GFRA2","ENSG00000168546","GDNF family receptor alpha 2","O00451","Intracellular and membrane"
"1758","ADAM9","ENSG00000168615","ADAM metallopeptidase domain 9","Q13443","Secreted - unknown location"
"1759","ADAM18","ENSG00000168619","ADAM metallopeptidase domain 18","Q9Y3Q7","Intracellular and membrane"
"1760","GDNF","ENSG00000168621","Glial cell derived neurotrophic factor","P39905","Secreted in other tissues"
"1761","WFDC13","ENSG00000168634","WAP four-disulfide core domain 13","Q8IUB5","Secreted in male reproductive system"
"1762","IL7R","ENSG00000168685","Interleukin 7 receptor","P16871","Intracellular and membrane"
"1763","WFDC12","ENSG00000168703","WAP four-disulfide core domain 12","Q8WWY7","Secreted in other tissues"
"1764","NPNT","ENSG00000168743","Nephronectin","Q6UXI9","Secreted to extracellular matrix"
"1765","ABHD15","ENSG00000168792","Abhydrolase domain containing 15","Q6UXT9","Secreted to blood"
"1766","SNTB2","ENSG00000168807","Syntrophin beta 2","Q13425","Intracellular and membrane"
"1767","IL12A","ENSG00000168811","Interleukin 12A","P29459","Secreted to blood"
"1768","FSTL5","ENSG00000168843","Follistatin like 5","Q8N475","Secreted in brain"
"1769","SFTPB","ENSG00000168878","Surfactant protein B","P07988","Secreted in other tissues"
"1770","ENHO","ENSG00000168913","Energy homeostasis associated","Q6UWT2","Secreted in brain"
"1771","CTRB1","ENSG00000168925","Chymotrypsinogen B1","P17538","Secreted to digestive system"
"1772","CTRB2","ENSG00000168928","Chymotrypsinogen B2","Q6GPI1","Secreted to digestive system"
"1773","PPIC","ENSG00000168938","Peptidylprolyl isomerase C","P45877","Intracellular and membrane"
"1774","GRM5","ENSG00000168959","Glutamate metabotropic receptor 5","P41594","Intracellular and membrane"
"1775","LGALS9","ENSG00000168961","Galectin 9","O00182","Secreted to blood"
"1776","SIGLEC7","ENSG00000168995","Sialic acid binding Ig like lectin 7","Q9Y286","Intracellular and membrane"
"1777","COL4A3","ENSG00000169031","Collagen type IV alpha 3 chain","Q01955","Secreted to extracellular matrix"
"1778","KLK7","ENSG00000169035","Kallikrein related peptidase 7","P49862","Secreted in other tissues"
"1779","DHRSX","ENSG00000169084","Dehydrogenase/reductase X-linked","Q8N5I4","Secreted to blood"
"1780","PCSK9","ENSG00000169174","Proprotein convertase subtilisin/kexin type 9","Q8NBP7","Secreted to blood"
"1781","CCDC126","ENSG00000169193","Coiled-coil domain containing 126","Q96EE4","Secreted to blood"
"1782","IL13","ENSG00000169194","Interleukin 13","P35225","Secreted to blood"
"1783","RSPO1","ENSG00000169218","R-spondin 1","Q2MKA7","Secreted in female reproductive system"
"1784","THBS3","ENSG00000169231","Thrombospondin 3","P49746","Secreted to extracellular matrix"
"1785","EFNA1","ENSG00000169242","Ephrin A1","P20827","Secreted to blood"
"1786","CXCL10","ENSG00000169245","C-X-C motif chemokine ligand 10","P02778","Secreted to blood"
"1787","CXCL11","ENSG00000169248","C-X-C motif chemokine ligand 11","O14625","Secreted to blood"
"1788","SHE","ENSG00000169291","Src homology 2 domain containing E","Q5VZ18","Secreted - unknown location"
"1789","C22orf15","ENSG00000169314","Chromosome 22 open reading frame 15","Q8WYQ4","Secreted in female reproductive system"
"1790","PDILT","ENSG00000169340","Protein disulfide isomerase like, testis expressed","Q8N807","Intracellular and membrane"
"1791","UMOD","ENSG00000169344","Uromodulin","P07911","Secreted in other tissues"
